City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,tangalle,6.024,80.7911,35.09,58,38,7.72,LK,1692518146
201,souillac,-20.5167,57.5167,26.21,61,20,4.63,MU,1692518146
202,imbituba,-28.24,-48.6703,12.84,90,5,4.98,BR,1692518083
203,egilsstadir,65.2653,-14.3948,8.95,87,75,6.17,IS,1692518147
204,weno,7.4515,151.8468,27.97,89,75,4.12,FM,1692518147
205,olyokminsk,60.3736,120.4264,20.14,73,90,1.77,RU,1692518147
206,saguenay,48.4168,-71.0657,14.49,98,75,1.03,CA,1692518147
207,laem sing,12.4816,102.0738,30.19,84,100,3.79,TH,1692518147
208,dalbandin,28.8947,64.4101,38.03,5,1,1.7,PK,1692518148
209,acapulco de juarez,16.8634,-99.8901,26.29,83,99,1.66,MX,1692518148
210,tual,-5.6667,132.75,25.37,80,14,10.41,ID,1692518148
211,falmouth,50.1544,-5.0711,17.32,100,100,3.6,GB,1692518149
212,linxia chengguanzhen,35.6003,103.2064,26.84,29,5,2.11,CN,1692518149
213,gadzhiyevo,69.2551,33.3362,9.09,77,100,8.99,RU,1692518149
214,mosjoen,65.836,13.1908,19.29,59,100,1.03,NO,1692518149
215,arkhangel'sk,64.5401,40.5433,12.34,55,83,4.02,RU,1692518149
216,saint-philippe,-21.3585,55.7679,24.77,69,0,1.25,RE,1692518150
217,chernyshevsk,52.5243,117.0174,18.06,51,81,6.05,RU,1692518150
218,kidal,18.4411,1.4078,34.71,27,29,5.86,ML,1692518150
219,turbat,26.0023,63.044,36.3,34,4,3.39,PK,1692518150
220,bako,5.7833,36.5667,27.71,33,100,1.32,ET,1692518150
221,tolanaro,-25.0319,46.9987,24.04,69,20,3.09,MG,1692518151
222,turkmenbasy,40.0222,52.9552,31.43,30,0,4.12,TM,1692518151
223,coquimbo,-29.9533,-71.3436,14.85,62,0,2.06,CL,1692518135
224,mgandu,-5.95,34.1333,25.3,28,98,4.47,TZ,1692518151
225,ballina,-28.8667,153.5667,16.55,69,0,3.09,AU,1692518099
226,carnarvon,-24.8667,113.6333,22.19,45,0,6.38,AU,1692518151
227,zakamensk,50.3741,103.2863,14.68,82,94,0.81,RU,1692518152
228,ribeira grande,38.5167,-28.7,22.22,83,75,2.57,PT,1692518152
229,hadibu,12.65,54.0333,29.38,64,82,9.3,YE,1692518152
230,san patricio,28.017,-97.5169,29.36,82,100,3.24,US,1692518152
231,rongelap,11.1635,166.8941,28.72,78,61,7.45,MH,1692518153
232,uttar char fasson,22.2332,90.7132,30.38,72,89,5.46,BD,1692518153
233,stanley,54.868,-1.6985,18.36,80,20,4.12,GB,1692518153
234,elmina,5.0898,-1.348,24.35,90,98,1.69,GH,1692518153
235,al qaryatayn,34.2296,37.2407,33.26,30,0,0.64,SY,1692518088
236,nar'yan-mar,67.6713,53.087,5.76,95,100,8.43,RU,1692517959
237,quang ngai,15.1167,108.8,33.13,56,97,5.2,VN,1692518154
238,fort mcmurray,56.7268,-111.381,11.77,82,0,4.12,CA,1692518120
239,kalifornsky,60.4183,-151.29,13.52,81,0,5.66,US,1692518154
240,nuku'alofa,-21.1333,-175.2,22.19,94,20,1.54,TO,1692518154
241,punta arenas,-53.15,-70.9167,0.61,89,62,3.29,CL,1692517803
